seller_id,seller_zip_code_prefix,seller_city,seller_state
3442f8959a84dea7ee197c632cb2df15,13023,campinas,SP
e49c26c3edfa46d227d5121a6b6e4d37,55325,brejao,PE
1b938a7ec6ac5061a66a3766e0e75f90,16304,penapolis,SP
ccc4bbb5f32a6ab2b7066a4130f114e3,80310,curitiba,PR
8cb7c5ddf41f4d506eba76e9a4702a25,75110,anapolis,GO
a7a9b880c49781da66651ccf4ba9ac38,13530,itirapina,SP
7b8e8ec35bad4b0ef7e3963650b0a87b,88705,tubarao,SC
166e8f1381e09651983c38b1f6f91c11,88780,imbituba,SC
e38db885400cd35c71dfd162f2c1dbcf,70740,brasilia,DF
4e6015589b781adaa5ce7f1892d06bb1,11440,guaruja,SP
4cf490a58259286ada5ba8525ba9e84a,14910,tabatinga,SP
2ff97219cb8622eaf3cd89b7d9c09824,13320,salto,SP
2078fe5066350e7d220c0ad3a3bbc6c1,86707,arapongas,PR
406822777a0b9eb5c50e442dd4cd3ec5,18500,tatui,SP
4dbd95a08b31ede5c82d3f861cb1ce1a,80210,curitiba,PR
d52cbce9845184537284a23c3bc3da0e,88495,garopaba,SC
9c690ceacd5c66731bf443ea810195cb,37650,camanducaia,MG
1f9ab4708f3056ede07124aad39a2554,17602,tupa,SP
1961c3e1272bfeceb05d0b78b5bbfdaf,7241,guarulhos,SP
d3674f271c91f824f82d24d92011f669,72233,brasilia,DF
768de2a4fc06aacecb9a586ccc30746a,70645,brasilia,DF
c0f783394e37cd9c9d7f5f81141450fa,13416,piracicaba,SP
8444e55c1f13cd5c179851e5ca5ebd00,37584,congonhal,MG
d71d863e5ef30d94e440c11be17dcd8f,6144,osasco,SP
0c7533c71df861ec58ad7ff999ed0e8d,13270,valinhos,SP
ef990a83bbea832f36ebe81376335aa8,89214,joinville,SC
41e0fa5761c886a630994a55c12087e7,11446,guaruja,SP
0747d5bb69f0586cc869d8af4c50f93e,28990,saquarema,RJ
c89cf7c468a48af70aada384e722f9e2,25730,petropolis,RJ
55f7a3319d80f7fdf078b8f03e6725fe,6056,osasco,SP
2d50d6282f8aa2257819a77bfaa0efe0,14940,ibitinga,SP
7e93a43ef30c4f03f38b393420bc753a,6429,barueri,SP
5206cc4bc2297c833e6061c49bf9c43f,6192,osasco,SP
a13aaf2d2886ab9fb30fb9a920160b8f,89207,joinville,SC
7299e27ed73d2ad986de7f7c77d919fa,38440,araguari,MG
8a9260f2b0340411d6d2a56bcf4f7378,32180,contagem,MG
b2479f944e1b90cf8a5de1bbfde284d6,14940,ibitinga,SP
3296662b1331dea51e744505065ae889,15805,catanduva,SP
4e7c18b98d84e05cbae3ff0ff03846c2,14882,jaboticabal,SP
b56906f7fd1696e043f1bcce164c487b,19830,echapora,SP
d650b663c3b5f6fb392b6326366efa9a,6713,cotia,SP
674207551483fec113276b67b0d871ff,18040,sorocaba,SP
1996942dc085d7773ba77a529b163cd0,14850,pradopolis,SP
63ffcb71394dd8ea3872ed9ffda17c74,24813,itaborai,RJ
cda598c48d7c614bc1cad7d8ff6f0010,15137,mirassol,SP
709e16e2b25c7474d980076c6bfc4806,16200,birigui,SP
422be4cc81a457fdb46f47edeb968ae5,14940,ibitinga,SP
8bb48dc19fccaa8613b6229bf7f452a2,19803,assis,SP
ad87df7699e83b8a91822a4a0b765c3a,13820,jaguariuna,SP
d6b664fa0667064c6d76394e7848d790,14801,araraquara,SP
98f52e1020fe788c10c0418de4393fec,27963,macae,RJ
62760d278921b5f352461620d68a9cee,13320,salto,SP
3f9be91358837bff69df67edfa3e42e8,86039,londrina,PR
87d73636a3acf123e842bb890a4db036,15190,nhandeara,SP
3d3ccf2b2f8134b10dce9dd446f0e075,14940,ibitinga,SP
44073f8b7e41514de3b7815dd0237f4f,71070,brasilia,DF
05ca864204d09595ae591b93ea9cf93d,6465,barueri,SP
f9eda05b67bef472deaddbba84aca289,88870,orleans,SC
75745ef7bc7d4f3ea3380f6f5303f514,70384,brasilia,DF
99002261c568a84cce14d43fcffb43ea,78095,cuiaba,MT
ea00f977a203ff88adf7057cb7806998,11085,santos,SP
34aefe746cd81b7f3b23253ea28bef39,81210,curitiba,PR
f0837c8d71434931d9e38e7b79234797,95995,arvorezinha,RS
d73cbd89533ce8b041a9190241453ac8,36525,guiricema,MG
70c0fda4c313d87115644d39e62eec60,55004,caruaru,PE
ffcfefa19b08742c5d315f2791395ee5,80045,curitiba,PR
26e13b6ff5b641b329e5524241ee2c93,14401,franca,SP
0ade5cc4a305ed7093a23f68ca47519c,81030,curitiba,PR
fc59392d66ef99377e50356ee4f3b4e1,40243,salvador,BA
b18dc380845b24038cfc48006478f099,9951,diadema,SP
f22a247b79dd22ecd91dc8e3b2a1b07c,8573,itaquaquecetuba,SP
ffc470761de7d0232558ba5e786e57b7,7091,guarulhos,SP
4c498c7345e89aebad651544829beca0,6341,carapicuiba,SP
01bcc9d254a0143f0ce9791b960b2a47,76400,uruacu,GO
f021c962aaba8ef6eb527a9c2c8394d1,88301,itajai,SC
02f5837340d7eb4f653d676c7256523a,80620,curitiba,PR
7b98de631987e26dd6d803490c43a13c,87900,loanda,PR
42b6488f5b8246d9141712abd4b1b693,87014,maringa,PR
95ec4458365c4d11f452ccf538377619,13481,limeira,SP
6ec1a01e866584bb679eb9b098345919,11040,santos,SP
f6122bc84774df1b372bdb3bb88ddb9f,6436,barueri,SP
623ad9d0c1e14bb5464a8c72bff7b4af,35530,claudio,MG
a63bfbaa882c8f4542891b4e2246cc7f,24355,niteroi,RJ
270d3ef21830ad0ecf3a6c53d08a533a,6380,carapicuiba,SP
89c127985a8b130cfa45c1d36764017a,6016,osasco,SP
1e9d5a33694bddb76316fd1f54734d20,78820,jaciara,MT
aaed1309374718fdd995ee4c58c9dfcd,89120,timbo,SC
d1c7fa84e48cfa21a0e595167c1c500e,99730,jacutinga,RS
c7246702dc991a06d788120dc7544391,60440,fortaleza,CE
e819bcfade7b5d88a27325eb6cfd62c5,7242,guarulhos,SP
6d2f2e3b539480db1e0842b3a4e32e6e,7051,guarulhos,SP
9e6229250fedbe05838fef417b74e7fb,16800,mirandopolis,SP
5abb8ea023c77787f2c15da891c8d384,89228,joinville,SC
817245bcc3badd82bbd222e0366951a6,17056,bauru,SP
caa9bc43a9fe8cf9c564ddd8a03cc4a6,12308,jacarei,SP
615005a3ef192c00c6f0e977cee3d2bc,13304,itu,SP
7178f9f4dd81dcef02f62acdf8151e01,89560,videira,SC
8132b9bd16876e1b0f8808d43825dd48,88058,florianopolis,SC
a6bd7d1ccdac48c6b33b28596b7eb122,58280,mamanguape,PB
8b181ee5518df84f18f4e1a43fe07923,87360,goioere,SP
10ff823eda2b032e2c93d17a7d294736,17280,pederneiras,SP
b4a476fbd28de64b1e347abf9089366a,6653,itapevi,SP
39c763cca83e654764b7a4a650fb9b7c,74563,goiania,GO
455befea1bb853c75ccbca94cff26e5c,27525,resende,RJ
c0aff2da32c17759d30b22fb0af6649d,88032,florianopolis,SC
a17f621c590ea0fab3d5d883e1630ec6,18055,sorocaba,SP
f92d8c817434bd2d84d4e9c61322b7fa,18048,sorocaba,SP
8ca5b19e0263150d2c57afdde2b3d011,9336,maua,SP
eec3469d83e142f9a104886655338c37,17030,bauru,SP
55bb6fe5bebe5012e2d7d9928e1128ff,17052,bauru,SP
d6b1ce66b035a475f00c017792ff9769,13327,salto,SP
3aa3c89ae3cd482385568be76120f63c,74343,goiania,GO
fe4cd9461203cee790d36792420b310f,35300,caratinga,MG
ececbfcff9804a2d6b40f589df8eef2b,14407,franca,SP
a254c682cc01e119f83530446f1df9a9,16500,cafelandia,SP
b92e3c8f9738272ff7c59e111e108d7c,36502,uba,MG
1dc2de47ee26a0a5b12dc14fd6dc0dea,14940,ibitinga,SP
6c6e3d67f969468f3bfd33f827a31222,87035,maringa,PR
781a66c0d89e30814d49fe8b5e14cd07,13064,campinas,SP
4917cee8d902e13428c3ec4b1ca6f315,89031,blumenau,SC
f9903dd0f812c7e771fcad47b6fff231,89070,blumenau,SC
5011f0d93373a4c5753adf58ca77af8d,11013,santos,SP
a4e634166243bbb3a13fa584463fa468,6286,osasco,SP
50bf89f1349bc0409a268c3a49678009,15155,jaci,SP
50c9975695009e5e6473912e83a6d1da,35530,claudio,MG
42d4b7e70819438f5ada61c965e92d7e,74045,goiania,GO
b14db04aa7881970e83ffa9426897925,18048,sorocaba,SP
31ae0774c17fabd06ff707cc5bde005f,13478,americana,SP
3d700782d7818f2c1e0d7a9e9d75fc00,86170,sertanopolis,SP
a3e9a2c700480d9bb01fba070ba80a0e,14940,ibitinga,SP
c3f5668699a1b04c0fa61ecea1e2bff6,86808,apucarana,PR
4fe2f67634d00c021aa01f96b6f2d68e,87035,maringa,PR
17adeba047385fb0c67d8e90b4296d21,7052,guarulhos,SP
7142540dd4c91e2237acb7e911c4eba2,16301,penapolis,SP
c04d70d515d15a7e3db3a73320598566,24020,niteroi,RJ
a3a38f4affed601eb87a97788c949667,89204,joinville,SC
744dac408745240a2c2528fb1b6028f3,83408,colombo,PR
8b9d6eec4a7eb7d0f9d579ce0b38324d,26562,mesquita,RJ
38e679b9e0064cd94c6f035707344dae,86010,londrina,PR
83deb69e889cf80f82be1dc6d5f2d486,88056,florianopolis,SC
79ebd9a61bac3eaf882805ed4ecfa12a,85802,cascavel,PR
26af45f5dfd967225a832838aa4e24a3,81070,curitiba,PR
e250d617a0ad591ba9bd663e584a895d,7084,guarulhos,SP
e53d5b9b29d1218281f4a907ada18626,85903,toledo,PR
3ca08eeb8d5595949fed424bd3677742,82510,curitiba,PR
15b3b1b81484422eb41df68ac87f1f50,17047,bauru,SP
e067ad2c1c0b48758eb1b5228bcf7a68,11045,santos,SP
f1fd5ab1181f827ffad998c1a5de7d74,80010,curitiba,PR
093805f8f2aeb63881444571e1f48f30,6236,osasco,SP
5acd070dd3fe441bbb2ec1f1ede515ee,13203,jundiai,SP
3c010235b7345c92f125d14ee232a76b,83800,mandirituba,PR
ce33c6211beaa8fef4cae8b52db39862,8655,suzano,SP
081acf3de680d554796c9cf041be7bc2,33200,vespasiano,MG
6989574bd97d9773f10d232b6c07da59,80040,curitiba,PR
8501d82f68d23148b6d78bb7c4a42037,89031,blumenau,SC
713e3a23ca5e47786eb6f0d99f94cfac,81050,curitiba,PR
32f83ffe11cd40f7adcf4eef171f52d9,97502,uruguaiana,RS
76d64c4aca3a7baf218bf93ef7fa768d,80215,curitiba,PR
d06d019f72a04e5497a0b64190af170c,6703,cotia,SP
ec80e49e69745ab6c14f984bf2149423,13480,limeira,SP
f8f35af4634605e6693c17cc3ffff5a8,37400,campanha,MG
004c9cd9d87a3c30c522c48c4fc07416,14940,ibitinga,SP
6b89abe95848c850399130d149a39b63,75640,piracanjuba,GO
c731d18cea9bf687ffee82a241c25b11,89701,concordia,SC
0daf5180aa44356f60f8effa533b55a2,74043,goiania,GO
fe8055980a4ff7f64ed889c2b5926929,81925,curitiba,PR
c42fd8e4d47dfb18ce5222f2dd7752f9,6246,osasco,SP
671585f5a2af58b6e276bc01003c0d2b,80510,curitiba,PR
2dd1fb6f0e42a2243b8a01e40cd41216,80240,curitiba,PR
a7c53f6b3b61adbdaa99dda97e8cbd56,14780,barretos,SP
a11a0e0ca67423425691db355cff69b0,13330,indaiatuba,SP
5bffbafbb22daf6d3bfc216a46db8708,26525,nilopolis,RJ
fc0b214b59a83615fea981c6424a02ae,9380,maua,SP
011b0eaba87386a2ae96a7d32bb531d1,17580,pompeia,SP
34a557286ead8fe75c989e0afcf7d98c,14406,franca,SP
217f005bb37ff3aeef5b2ae1788e75ba,6038,osasco,SP
cac4e0bc1a3269fa2b6ea5e763f6115b,88351,brusque,SC
8ec76bb0965af3f007692b26fa9d6623,88804,criciuma,SC
044668ccd5316b12a7cf0d54a156e3e9,6016,osasco,SP
643c01d7c56a724bec0454f4780e8a3e,89222,joinville,SC
312ba1d77e9c332ef21f9598b7f64cd7,7179,guarulhos,SP
1fdc574883ef3b33ad41562d93f3a74a,13480,limeira,SP
9a03a4e9eb0b947652fae4f6121a3f5e,15805,catanduva,SP
33cbda8716511e27e556dff9d8418bf2,89052,blumenau,SC
3df020b72d3d44b3af9d110fa3940b65,15704,jales,SP
89de2d6f23e9746ff309705b23581faa,86060,londrina,PR
c611f4ce9ce875bcc063fa97fd4d7d12,12944,atibaia,SP
3bfba5a77604f6dfae7e6dd7aaf65821,86046,londrina,PR
0f0c984a4a955310903b6b6008660bad,14403,franca,SP
f805b96fa705ba7995a221f1749dc141,87013,maringa,PR
6a53b90c3ad9e0b56d9fe5c69165fff5,82220,curitiba,PR
38f276ca6e7cc95a6d1bb55ac9e5550f,17520,marilia,SP
