order_id,payment_sequential,payment_type,payment_installments,payment_value
0573b5e23cbd798006520e1d5b4c6714,1,boleto,1,51.95
8cd68144cdb62dc0d60848cf8616d2a4,1,boleto,1,330.66
5cfd514482e22bc992e7693f0e3e8df7,2,voucher,1,45.17
b69b9260e79a0da00e15f48de1bd2524,1,boleto,1,283.34
00d8d65b666158b633f96054d31af43b,1,boleto,1,130.88
32b1d8f3789a57f1f752e20ac7404b4c,1,boleto,1,56.6
56c3277583e16009c925fdf116df420f,1,boleto,1,31.38
1ffb3c1929b16d9c1aec1958e11b3e9b,1,boleto,1,166.04
95442deb81a5d91c97c0df96b431634a,1,boleto,1,368.98
10d9871bed9fb8d0887d3b9022edd1ff,1,boleto,1,84.14
fc662bafa52d2ef16078f6f6141009d6,1,boleto,1,90.05
55e2d723733c45033e71cb4d44690234,1,boleto,1,89.63
947e9c6bfd83a06953c420ef92d3da6e,1,voucher,1,69.46
e3e9e3295f4e1512167c232a0aaae8a5,1,voucher,1,50.8
4cb51127f19f7254b320efe1718477dd,1,boleto,1,77.1
3689194c14ad4e2e7361ebd1df0e77b0,2,voucher,1,57.53
96de2b7f7f3c401fbee3eef068376da6,1,boleto,1,32.15
21b8b46679ea6482cbf911d960490048,2,voucher,1,43.12
f49cd89d6dad6dd5759ecf15dfe4bb19,1,boleto,1,47.0
ea9184ad433a404df1d72fa0a8764232,4,voucher,1,22.49
0fba53cb4e9429e38cd2750c32fa24a5,1,boleto,1,52.21
68d7420c86be23f313c81a554320f986,1,boleto,1,121.88
49d3db2a02106c24d6ef800bd8ad5546,1,boleto,1,90.17
e2cd740333fe4585ead5c50c61edb6a5,1,voucher,1,163.25
55779fa8fe072d9f8c92d672154558f2,1,boleto,1,233.66
82ffe097d8ddbf319a523b9bbe7725d5,2,voucher,1,30.0
14d9794bbb53614d12cc2df6a045f82b,1,boleto,1,116.7
31f8013402a0749b3ab433b1aee11754,1,boleto,1,42.19
3597f6476c27b4e1cc2f58588116f8f5,1,boleto,1,85.14
